time,channel,cityName,comment,countryIsoCode,countryName,isAnonymous,isMinor,isNew,isRobot,isUnpatrolled,metroCode,namespace,page,regionIsoCode,regionName,user,delta,added,deleted
2015-09-12T00:47:37.881Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agama sankaranica,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:42.090Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea albertae,,,Cheers!-bot,18,18,0
2015-09-12T00:47:44.963Z,#ru.wikipedia,,/* Донецкая Народная Республика */,,,False,False,False,False,False,,Main,"Караман, Александр Акимович",,,Камарад Че,0,0,0
2015-09-12T00:47:47.870Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractus duboisi,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:50.819Z,#en.wikipedia,,/* Films */,,,False,False,False,False,False,,Main,Keiynan Lonsdale,,,Lg16spears,-11,0,11
2015-09-12T00:47:53.259Z,#ja.wikipedia,,/* 対戦通算成績と得失点 */,,,False,True,False,False,False,,Main,アルビレックス新潟の年度別成績一覧,,,BlueMoon2662,14,14,0
2015-09-12T00:47:56.126Z,#en.wikipedia,,Bot updating unblock request table ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]]),,,False,False,False,True,False,,User,User:Cyberbot I/Requests for unblock report,,,Cyberbot I,-74,0,74
2015-09-12T00:47:58.320Z,#en.wikipedia,,"del needless, fix ital., convert templates",,,False,False,False,False,False,,Main,USS Growler (SSG-577),,,Trekphiler,33,33,0
2015-09-12T00:48:02.596Z,#es.wikipedia,Mexico City,Cambio en la redacción del texto y correción en sintaxis,MX,Mexico,True,False,False,False,False,,Main,Mathis Bolly,DIF,Mexico City,189.217.75.123,-67,0,67
2015-09-12T00:48:07.282Z,#ko.wikipedia,Seoul,/* 주변 인물 */,KR,Republic of Korea,True,False,False,False,False,,Main,유희왕 GX,11,Seoul,110.47.57.14,663,663,0
2015-09-12T00:48:10.048Z,#ja.wikipedia,Tokyo,/* 後任 */,JP,Japan,True,False,False,False,False,,Main,青野武,13,Tōkyō,119.26.148.34,0,0,0
2015-09-12T00:48:12.732Z,#en.wikipedia,,Blank stale warning(s) and replace with {{[[template:OW|OW]]}} using [[Project:AWB|AWB]],,,False,True,False,False,False,,User talk,User talk:161.184.98.131,,,DavidLeighEllis,0,0,0
2015-09-12T00:48:15.753Z,#es.wikipedia,Santiago,Mostrando el punto de vista de quien expresa dicha definición,CL,Chile,True,False,False,False,False,,Main,Golpe de Estado en Chile de 1973,RM,Santiago Metropolitan,190.208.152.43,161,161,0
2015-09-12T00:48:20.157Z,#en.wikipedia,Campbell,Rectifying someone's mischief,US,United States,True,False,False,False,False,807.0,Main,President of India,CA,California,73.162.114.225,-26,0,26
2015-09-12T00:48:22.384Z,#en.wikipedia,,Reverted 1 edit by [[Special:Contributions/172.248.5.65|172.248.5.65]] ([[User talk:172.248.5.65|talk]]) to last revision by ClueBot NG. ([[WP:TW|TW]]),,,False,True,False,False,False,,Main,List of Tenkai Knights episodes,,,ExtremeHeat11,5,5,0
2015-09-12T00:48:24.986Z,#de.wikipedia,,1+ Weblink geändert,,,False,False,False,False,False,,Main,Bugarija,,,Boshomi,18,18,0
2015-09-12T00:48:29.145Z,#en.wikipedia,,date formats per [[MOS:DATE TIES]],,,False,True,False,False,False,,Main,A.Dd+,,,Zyxw,4,4,0
2015-09-12T00:48:32.484Z,#en.wikipedia,,added [[Category:Albums produced by Andy Paley]] using [[WP:HC|HotCat]],,,False,False,False,False,False,,Main,Brian Wilson (album),,,Ilovetopaint,43,43,0
2015-09-12T00:48:34.241Z,#ja.wikipedia,,/* 歴代優勝チーム */,,,False,False,False,False,False,,Main,全日本総合女子ソフトボール選手権大会,,,Championship2006,396,396,0
2015-09-12T00:48:36.750Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractus bocki,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:48:40.223Z,#ja.wikipedia,,/* 出演 */,,,False,False,False,False,False,,Main,かぎしっぽ,,,Baynosuke,180,180,0
2015-09-12T00:48:42.761Z,#cs.wikipedia,,typograficky poupraveno dle regulí,,,False,True,False,False,False,,Main,Kuna lesní,,,Ian sedmik junior,162,162,0
2015-09-12T00:48:45.640Z,#sv.wikipedia,,[[Wikipedia:Automatisk sammanfattning|←]]Omdirigerade sidan till [[Kvalitativ forskning]],,,False,False,True,False,True,,Main,Kvalitativ studie,,,Eribro,37,37,0
2015-09-12T00:48:49.137Z,#en.wikipedia,,[[Wikipedia:Templates for discussion/Log/2015 September 2#Template:Geology2]] using [[Project:AWB|AWB]],,,False,True,False,False,False,,Main,Geology,,,Alakzi,-13,0,13
2015-09-12T00:48:52.982Z,#ja.wikipedia,,/* キャスト */,,,False,True,False,False,False,,Main,釣りキチ三平,,,ホシノルリ少佐,60,60,0
2015-09-12T00:48:54.019Z,#de.wikipedia,,http://www.sjweb.info/resources/saintslistall.cfm?LangTop=1&Publang=1,,,False,False,False,False,False,,Main,Liste bedeutender Jesuiten,,,2003:51:4774:C270:217:F2FF:FECF:6667,80,80,0
2015-09-12T00:48:56.677Z,#es.wikipedia,,Bot: [[Usuario:FrescoBot/Enlaces|sintaxis de los enlaces]] y cambios menores,,,False,True,False,True,False,,Main,Dieter Appelt,,,FrescoBot,0,0,0
2015-09-12T00:48:59.548Z,#en.wikipedia,,/* Punjabi Hindus */,IN,India,True,False,False,False,False,,Main,Punjabis,,,122.15.11.155,1,1,0
2015-09-12T00:49:03.441Z,#en.wikipedia,,"[[WP:AWB/T|Typo fixing]], [[WP:AWB/T|typo(s) fixed]]: accomodation → accommodation, anglo → Anglo, saxon → Saxon, norman → Norman, english → English (2) using [[Project:AWB|AWB]]",,,False,True,False,False,False,,Main,Burton Lazars,,,The Quixotic Potato,1,1,0
2015-09-12T00:49:05.529Z,#es.wikipedia,,Bot: [[Usuario:FrescoBot/Enlaces|sintaxis de los enlaces]],,,False,True,False,True,False,,Main,Protase Rugambwa,,,FrescoBot,-2,0,2
2015-09-12T00:49:07.731Z,#en.wikipedia,,/* Personnel */,,,False,False,False,False,False,,Main,Unorthodox Jukebox,,,MarioSoulTruthFan,32,32,0
2015-09-12T00:49:09.298Z,#ja.wikipedia,,/* 来歴 */,JP,Japan,True,False,False,False,False,,Main,正岡大介,,,106.131.175.193,-113,0,113
2015-09-12T00:49:12.942Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractus apophis,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:49:16.472Z,#ca.wikipedia,,Robot inserta {{Commonscat}} que enllaça amb [[commons:category:Edifici Editorial Montaner i Simón]],,,False,True,False,True,False,,Main,Editorial Montaner i Simón,,,PereBot,15,15,0
2015-09-12T00:49:18.553Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/Law enforcement,,,WP 1.0 bot,0,0,0
2015-09-12T00:49:21.315Z,#en.wikipedia,,"[[WP:AES|←]]Created page with '{{Portal|Record production}}  {{DEFAULTSORT:Paley, Andy}} [[Category:Albums by producer]]'",,,False,False,True,False,True,,Category,Category:Albums produced by Andy Paley,,,Ilovetopaint,89,89,0
2015-09-12T00:49:23.066Z,#de.wikipedia,Darmstadt,Neuer Abschnitt /* Mad Men */,DE,Germany,True,False,False,False,False,,Diskussion,Diskussion:Sebastian Schulz,HE,Hesse,93.221.150.186,167,167,0
2015-09-12T00:49:25.072Z,#en.wikipedia,,Blank stale warning(s) and replace with {{[[template:OW|OW]]}} using [[Project:AWB|AWB]],,,False,True,False,False,False,,User talk,User talk:161.185.150.122,,,DavidLeighEllis,0,0,0
2015-09-12T00:49:28.222Z,#en.wikipedia,,add {{subst:AFC submission/draftnew}},,,False,False,False,False,False,,Draft,Draft:St. Joseph Regional Catholic School,,,PrimeHunter,139,139,0
2015-09-12T00:49:31.468Z,#ko.wikipedia,,/* 서동요 */,KR,Republic of Korea,True,False,False,False,False,,Main,향가,,,59.14.118.68,357,357,0
2015-09-12T00:49:36.240Z,#ca.wikipedia,,Robot inserta {{Commonscat}} que enllaça amb [[commons:category:Trygve Haavelmo]],,,False,True,False,True,False,,Main,Trygve Haavelmo,,,PereBot,15,15,0
2015-09-12T00:49:38.452Z,#en.wikipedia,,+[[Category:British songwriters]]; +[[Category:British record producers]] using [[WP:HC|HotCat]],,,False,False,False,False,False,,Main,Alan Sampson,,,Bamyers99,99,99,0
2015-09-12T00:49:40.971Z,#zh.wikipedia,,/* 演唱會 */,TW,Taiwan,True,False,False,False,False,,Main,許仁杰,,,220.136.245.168,92,92,0
2015-09-12T00:49:45.063Z,#ar.wikipedia,,تم إصلاح النحو,,,False,False,False,False,False,,Main,سيارة,,,محمد الصبابي,0,0,0
2015-09-12T00:49:48.627Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/Syria,,,WP 1.0 bot,0,0,0
2015-09-12T00:49:51.581Z,#pt.wikipedia,,"Atreyu é uma banda de metalcore melódico, não de metalcore ""puro"".",,,False,False,False,False,True,,Main,Atreyu,,,DragonMaster Ryu,30,30,0
2015-09-12T00:49:54.303Z,#en.wikipedia,,/* Works */ Copy,,,False,False,False,False,False,,Main,Anna Petersen,,,Belle,12,12,0
2015-09-12T00:49:57.614Z,#en.wikipedia,,remove - deleted,,,False,False,False,False,False,,Main,Ayrton Senna,,,Diannaa,-25,0,25
2015-09-12T00:50:00.903Z,#en.wikipedia,,remove - deleted,,,False,False,False,False,False,,Main,George Clinton (vice president),,,Diannaa,-25,0,25
2015-09-12T00:50:04.857Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agapanthus caulescens,,,ThitxongkhoiAWB,36,36,0
2015-09-12T00:50:07.052Z,#en.wikipedia,,/* Regions */,,,False,True,False,False,False,,Main,New York State Department of Environmental Conservation,,,Js69sj,1,1,0
2015-09-12T00:50:08.939Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agave brevipetala,,,TuHan-Bot,36,36,0
2015-09-12T00:50:13.289Z,#ko.wikipedia,,/* 서동요 */,KR,Republic of Korea,True,False,False,False,False,,Main,향가,,,59.14.118.68,4,4,0
2015-09-12T00:50:15.007Z,#en.wikipedia,,/* Other work */ ce,,,False,False,False,False,False,,Talk,"Talk:Ron ""Pigpen"" McKernan/GA1",,,Viriditas,1,1,0
2015-09-12T00:50:18.544Z,#it.wikipedia,,integrazioni,,,False,False,False,False,False,,Main,The Lucky Horseshoe (film 1911),,,Azazello&margherita,51,51,0
2015-09-12T00:50:20.077Z,#en.wikipedia,,/* Gravity Falls (season 2) */,,,False,False,False,False,False,,User talk,User talk:Artmanha,,,Artmanha,566,566,0
2015-09-12T00:50:23.457Z,#es.wikipedia,,/* Reparto */,,,False,False,False,False,False,,Main,Antes muerta que Lichita,,,Donático,13,13,0
2015-09-12T00:50:27.770Z,#es.wikipedia,,/* Lista de canciones */,,,False,False,False,False,False,,Main,All I Ever Wanted (álbum),,,Dany26,4,4,0
2015-09-12T00:50:30.543Z,#en.wikipedia,,CE,,,False,False,False,False,False,,Main,George Augustus Conquest,,,Philafrenzy,0,0,0
2015-09-12T00:50:33.787Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes scutellatus,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:50:37.346Z,#en.wikipedia,,Disambiguated: [[conspiracy]] → [[conspiracy (criminal)]],,,False,False,False,False,False,,Main,Kyle Flood,,,PKT,17,17,0
2015-09-12T00:50:39.072Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/WikiProject Somalia,,,WP 1.0 bot,0,0,0
2015-09-12T00:50:42.345Z,#fr.wikipedia,Beauchamp,/* Semaine 12 */ Faute de frappe corrigée,FR,France,True,False,False,False,True,,Main,Saison 9 de Secret Story,95,Val d'Oise,92.151.101.96,-1,0,1
2015-09-12T00:50:46.565Z,#ja.wikipedia,,/* とあるLTA対策用非公開フィルター */ 　1ヶ月程待っていますので早急に何だかの返答が欲しいです,,,False,False,False,False,False,,Wikipedia,Wikipedia:編集フィルター/提案,,,Taisyo,438,438,0
2015-09-12T00:50:49.275Z,#en.wikipedia,,I wrote the truth.,,,False,False,False,False,False,,Main,Samsung,,,Facts4realnolies,46,46,0
2015-09-12T00:50:50.561Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea basimacula,,,Cheers!-bot,18,18,0
2015-09-12T00:50:53.940Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agapetes angulata,,,ThitxongkhoiAWB,36,36,0
2015-09-12T00:50:57.733Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes romani,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:50:59.813Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea belangeri,,,Cheers!-bot,18,18,0
2015-09-12T00:51:02.046Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/Arab world,,,WP 1.0 bot,0,0,0
2015-09-12T00:51:05.798Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agapetes arunachalensis,,,ThitxongkhoiAWB,36,36,0
2015-09-12T00:51:09.782Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agapetes atrosanguinea,,,ThitxongkhoiAWB,36,36,0
2015-09-12T00:51:12.957Z,#ar.wikipedia,,أنشأ الصفحة ب''''شوط''' [[المحرك المتردد]]<ref>[http://encyc.reefnet.gov.sy/?page=entry&id=198279 الموسوعة الميسرة]</ref> حركة ((ذهاب)) أو ((...',,,False,False,True,False,False,,Main,شوط,,,عبد المؤمن,552,552,0
2015-09-12T00:51:16.001Z,#es.wikipedia,,es genial,,,False,False,False,False,False,,Main,Ed Sheeran,,,Ferni Grint,50,50,0
2015-09-12T00:51:20.426Z,#en.wikipedia,Hull,"/* Industrialisation */ don't use easter egg links, don't capitalise made up names",GB,United Kingdom,True,False,False,False,False,,Main,Glasgow,KHL,Kingston upon Hull,83.100.174.82,-44,0,44
2015-09-12T00:51:22.784Z,#en.wikipedia,,Not meant to show division,,,False,False,False,False,False,,Main,Ejike Ugboaja,,,Rikster2,-8,0,8
2015-09-12T00:51:25.743Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes punctulatus,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:51:28.416Z,#en.wikipedia,,/* Xixianykus */,,,False,False,False,False,False,,User talk,User talk:C.Fred,,,Christian Sirolli,22,22,0
2015-09-12T00:51:31.311Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea binaloudi,,,Cheers!-bot,18,18,0
2015-09-12T00:51:35.588Z,#fr.wikipedia,,/* Fonctions */,,,False,False,False,False,False,,Main,Ahmed Horri,,,Melha,-8,0,8
2015-09-12T00:51:37.806Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes productus,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:51:39.371Z,#fr.wikipedia,Toronto,Ajout d'un titre de roman,CA,Canada,True,False,False,False,True,,Main,Didier Leclair,ON,Ontario,173.206.10.49,79,79,0
2015-09-12T00:51:42.269Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agave × glomeruliflora,,,TuHan-Bot,18,18,0
2015-09-12T00:51:45.666Z,#fr.wikipedia,Magog,J'ai corrigé une faute et j'ai glisser une erreur dens la correction,CA,Canada,True,False,False,False,True,,Main,Les Argonautes,QC,Quebec,24.122.168.111,-18,0,18
2015-09-12T00:51:48.159Z,#es.wikipedia,,Eliminando la [[Categoría:Catedral de Notre Dame]]; Añadiendo la [[Categoría:Catedral de Notre Dame (París)]] mediante [[Wikipedia:HotCat|HotCat]],,,False,True,False,False,False,,Main,Escuela de Notre Dame,,,Incolam,9,9,0
2015-09-12T00:51:50.593Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea borealis,,,Cheers!-bot,18,18,0
2015-09-12T00:51:54.082Z,#it.wikipedia,,categoria,,,False,False,False,False,True,,Main,Peppa Pig,,,Willnw,54,54,0
2015-09-12T00:51:56.857Z,#en.wikipedia,,Archiving case from [[Wikipedia:Sockpuppet investigations/JAEjae9901]],,,False,False,True,False,False,,Wikipedia,Wikipedia:Sockpuppet investigations/JAEjae9901/Archive,,,Bbb23,3360,3360,0
2015-09-12T00:51:59.818Z,#en.wikipedia,,[[WP:AES|←]]Blanked the page,,,False,False,False,False,False,,User,User:King Lui,,,King Lui,0,0,0
2015-09-12T00:52:03.553Z,#pl.wikipedia,,-,,,False,True,False,False,False,,Main,Cəbrayıl Həsənov,,,Jasiek054,16,16,0
2015-09-12T00:52:08.271Z,#pt.wikipedia,,adição de informações sem refs.,,,False,False,False,False,False,,Main,Catarina Muniz,,,Mobyduck,0,0,0
2015-09-12T00:52:11.073Z,#es.wikipedia,,Revertidos los cambios de [[Special:Contributions/Lop345|Lop345]] ([[User talk:Lop345|disc.]]) ([[WP:HG|HG]]),,,False,True,False,False,False,,Usuario discusión,Usuario discusión:Lop345,,,Jkbw,-3,0,3
2015-09-12T00:52:14.926Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea brunnescens,,,Cheers!-bot,18,18,0
2015-09-12T00:52:17.353Z,#it.wikipedia,,Sistemo paragrafi e informazioni,,,False,False,False,False,False,,Main,Tarentola angustimentalis,,,Raniero Supremo,-17,0,17
2015-09-12T00:52:20.475Z,#ru.wikipedia,,/* Ссылки */ шаблон,,,False,False,False,False,False,,Main,История почты и почтовых марок Омана,,,Michael Romanov,107,107,0
2015-09-12T00:52:22.792Z,#fr.wikipedia,,Annulation des modifications 118561585 de [[Spécial:Contributions/78.201.194.57|78.201.194.57]] ([[User talk:78.201.194.57|d]]),,,False,False,False,False,False,,Main,Djihadisme,,,Yelkrokoyade,120,120,0
2015-09-12T00:52:25.818Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes oribates,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:52:28.656Z,#en.wikipedia,,"Undid revision 680597808 by [[Special:Contributions/PiCo|PiCo]] ([[User talk:PiCo|talk]]) PiCo generally you do great, but please explain this one on Talk.  Thanks",,,False,False,False,False,False,,Main,The Exodus,,,Jytdog,41,41,0
2015-09-12T00:52:29.815Z,#pt.wikipedia,,bot: notificação de reversão em [[Bumbum de Mulher]],,,False,False,False,True,False,,Usuário(a) Discussão,Usuário(a) Discussão:189.48.69.31,,,Salebot,1979,1979,0
2015-09-12T00:52:33.829Z,#en.wikipedia,,Archiving case to [[Wikipedia:Sockpuppet investigations/Mohamed Eldakak/Archive]],,,False,False,False,False,False,,Wikipedia,Wikipedia:Sockpuppet investigations/Mohamed Eldakak,,,Bbb23,0,0,0
2015-09-12T00:52:37.995Z,#vi.wikipedia,,/* Chú thích */fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea centralis,,,Cheers!-bot,18,18,0
2015-09-12T00:52:41.286Z,#ar.wikipedia,,/* أنظر أيضاً */,,,False,False,False,False,False,,Main,بسكويت أفغاني,,,Makki98,55,55,0
2015-09-12T00:52:44.751Z,#ja.wikipedia,,[[WP:AES|←]]ページの置換: '{{User sandbox}} <!-- この行より下を編集してください -->',,,False,False,False,False,False,,利用者,利用者:TOSHIFUMI NAGAO/sandbox,,,TOSHIFUMI NAGAO,0,0,0
2015-09-12T00:52:49.195Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agathosma stokoei,,,TuHan-Bot,36,36,0
2015-09-12T00:52:51.324Z,#en.wikipedia,,"[[WP:AWB/T|Typo fixing]], [[WP:AWB/T|typo(s) fixed]]: third place → third-place (2), 43 yard → 43-yard (2) using [[Project:AWB|AWB]]",,,False,True,False,False,False,,Main,Randy Edsall,,,The Quixotic Potato,0,0,0
2015-09-12T00:52:53.739Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes muiri,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:52:56.507Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea characterea,,,Cheers!-bot,18,18,0
2015-09-12T00:53:01.357Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agathosma stenosepala,,,TuHan-Bot,36,36,0
2015-09-12T00:53:04.420Z,#en.wikipedia,,edited by robot: adding date header(s),,,False,False,False,True,False,,Wikipedia,Wikipedia:Reference desk/Language,,,Scsbot,18,18,0
2015-09-12T00:53:06.217Z,#cs.wikipedia,,aktu demo,,,False,False,False,False,False,,Main,Centrální distrikt (Izrael),,,Davcza,288,288,0
2015-09-12T00:53:09.325Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agathosma squamosa,,,TuHan-Bot,36,36,0
2015-09-12T00:53:12.065Z,#en.wikipedia,,Moved Mississippi John Hurt to the H list. Added link to Mississippi John Hurt Foundation,,,False,True,False,False,False,,Main,List of Delta blues musicians,,,Tiamarika,168,168,0
2015-09-12T00:53:15.610Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea cinifacta,,,Cheers!-bot,18,18,0
2015-09-12T00:53:17.792Z,#en.wikipedia,,Undid revision 680610486 by [[Special:Contributions/101.185.28.230|101.185.28.230]] ([[User talk:101.185.28.230|talk]]),BR,Brazil,True,False,False,False,False,,Main,First Doctor,,,201.25.45.194,32,32,0
2015-09-12T00:53:21.818Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes lapponicus,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:53:24.937Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/Popular Culture,,,WP 1.0 bot,0,0,0
2015-09-12T00:53:28.154Z,#ar.wikipedia,,/* أكلات تم تطويرها في نيوزيلندا */,,,False,False,False,False,False,,Main,مطبخ نيوزلندي,,,Makki98,-2,0,2
2015-09-12T00:53:30.722Z,#en.wikipedia,,Reverted 3 edits by [[Special:Contributions/73.38.1.38|73.38.1.38]] ([[User talk:73.38.1.38|talk]]) to last revision by 71.168.170.104. ([[WP:TW|TW]]),,,False,True,False,False,False,,Main,Finding Dory,,,ExtremeHeat11,0,0,0
2015-09-12T00:53:33.329Z,#en.wikipedia,,edited by robot: adding date header(s),,,False,False,False,True,False,,Wikipedia,Wikipedia:Reference desk/Miscellaneous,,,Scsbot,18,18,0
2015-09-12T00:53:35.621Z,#en.wikipedia,,remove - deleted,,,False,False,False,False,False,,Main,Tom Brokaw,,,Diannaa,-25,0,25
2015-09-12T00:53:38.261Z,#es.wikipedia,,Bot: [[Usuario:FrescoBot/Enlaces|sintaxis de los enlaces]] y cambios menores,,,False,True,False,True,False,,Main,Tercer Cine,,,FrescoBot,-27,0,27
2015-09-12T00:53:42.884Z,#es.wikipedia,,Bot: [[Usuario:FrescoBot/Enlaces|sintaxis de los enlaces]] y cambios menores,,,False,True,False,True,False,,Main,Críquet,,,FrescoBot,-12,0,12
2015-09-12T00:53:45.971Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agathosma sabulosa,,,TuHan-Bot,36,36,0
2015-09-12T00:53:49.732Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractodes incrassator,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:53:52.548Z,#it.wikipedia,,Corretto collegamento a disambigua,,,False,True,False,False,False,,Main,Stazione di Sutton,,,Borgil,17,17,0
2015-09-12T00:53:54.380Z,#en.wikipedia,,edited by robot: adding date header(s),,,False,False,False,True,False,,Wikipedia,Wikipedia:Help desk,,,Scsbot,18,18,0
2015-09-12T00:53:57.791Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agapetes intermedia,,,ThitxongkhoiAWB,36,36,0
2015-09-12T00:54:01.946Z,#pt.wikipedia,,A palavra daninha estava incorreta,BR,Brazil,True,False,False,False,True,,Main,Biologia marinha,,,201.67.137.86,0,0,0
2015-09-12T00:54:05.425Z,#ja.wikipedia,,/* 主要人物 */,,,False,True,False,False,False,,Main,ゲーム・オブ・スローンズ,,,Iceandsnow7,12,12,0
